,Symbol,Price,PrevDayClose,ChangeInPercentage
497,NSE:CTE,63.65,62.9,1.19
498,NSE:CURATECH,1.6,1.6,0.0
499,NSE:CUBEXTUB,24.85,23.8,4.41
500,NSE:CUMMINSIND,926.35,903.15,2.57
501,NSE:CYBERTECH,177.0,174.85,1.23
502,NSE:CYBERMEDIA,9.65,10.1,-4.46
503,NSE:CYIENT,1182.05,1159.8,1.92
504,NSE:COFFEEDAY,39.25,36.95,6.22
505,NSE:HATHWAY,27.2,26.85,1.3
506,NSE:UMANGDAIRY,80.25,79.45,1.01
507,NSE:DAAWAT,72.75,73.6,-1.15
508,NSE:DATAMATICS,350.1,358.85,-2.44
509,NSE:DBREALTY,41.3,39.35,4.96
510,NSE:DBCORP,97.7,96.45,1.3
511,NSE:DCW,52.0,52.8,-1.52
512,NSE:DCM,53.3,51.25,4.0
513,NSE:DCBBANK,95.65,93.25,2.57
514,NSE:DCMSHRIRAM,1205.0,1191.1,1.17
515,NSE:DELTACORP,298.3,289.9,2.9
516,NSE:HIL,5238.9,5195.25,0.84
517,NSE:NDL,74.3,75.6,-1.72
518,NSE:DHUNINV,638.5,638.45,0.01
519,NSE:DTIL,287.5,286.8,0.24
520,NSE:DHARSUGAR,20.35,20.5,-0.73
521,NSE:DHAMPURSUG,332.4,325.6,2.09
522,NSE:DHANBANK,16.95,16.7,1.5
523,NSE:DISHTV,18.5,19.0,-2.63
524,NSE:DIAPOWER,1.55,1.6,-3.13
525,NSE:GDL,285.05,288.3,-1.13
526,NSE:RKDL,14.2,14.55,-2.41
527,NSE:DICIND,464.85,460.05,1.04
528,NSE:PIONDIST,180.1,180.6,-0.28
529,NSE:DIVISLAB,5327.4,5372.15,-0.83
530,NSE:DLF,440.8,434.9,1.36
531,NSE:DLINKINDIA,146.4,146.1,0.21
