Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
NSE:PERFECT,Perfect Infraengineers Limited,NaN,NaN,NaN,NaN
NSE:MOHOTAIND,Mohota Industries Limited,10.25,10.45,-1.91,21713
NSE:UNITY,Unity Infraprojects Limited,NaN,NaN,NaN,NaN
NSE:SETUINFRA,Setubandhan Infrastructure Limited,1.25,1.2,4.17,294171
NSE:MASKINVEST,Mask Investments Limited,38,38,0,13
NSE:ACEINTEG,Ace Integrated Solutions Limited,NaN,NaN,NaN,NaN
NSE:SECL,Salasar Exteriors and Contour Limited,NaN,NaN,NaN,NaN
NSE:ZENITHSTL,Zenith Steel Pipes & Industries Limited,0.85,0.8,6.25,7851
NSE:SYNCOM,Syncom Healthcare Limited,NaN,NaN,NaN,NaN
NSE:CROWN,Crown Lifters Limited,NaN,NaN,NaN,NaN
NSE:DALALSTCOM,DSJ Communications Limited,1,1.05,-4.76,16300
NSE:UMESLTD,Usha Martin Education & Solutions Limited,4,4,0,63676
NSE:ABINFRA,A B Infrabuild Limited,NaN,NaN,NaN,NaN
NSE:IMPEXFERRO,Impex Ferro Tech Limited,1.2,1.2,0,4522
NSE:TVVISION,TV Vision Limited,2.3,2.2,4.55,4407
NSE:VICEROY,Viceroy Hotels Limited,4.4,4.2,4.76,79942
NSE:PAEL,PAE Limited,7.05,7,0.71,1478
NSE:ABNINT,A B N Intercorp Limited,NaN,NaN,NaN,NaN
NSE:EASUNREYRL,Easun Reyrolle Limited,2.85,2.9,-1.72,6515
NSE:BSELINFRA,BSEL Infrastructure Realty Limited,NaN,NaN,NaN,NaN
NSE:DNAMEDIA,Diligent Media Corporation Limited,2.45,2.35,4.26,175349
NSE:SKSTEXTILE,SKS Textiles Limited,NaN,NaN,NaN,NaN
NSE:BARTRONICS,Bartronics India Limited,4.1,4,2.5,31368
NSE:SANCO,Sanco Industries Limited,8.9,8.95,-0.56,45637
NSE:ONELIFECAP,Onelife Capital Advisors Limited,18.1,18.8,-3.72,15251
NSE:PREMIER,Premier Limited,4,3.9,2.56,17410
NSE:NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,7.65,7.95,-3.77,3349
NSE:CMMIPL,CMM Infraprojects Limited,NaN,NaN,NaN,NaN
NSE:JETKNIT,Jet Knitwears Limited,NaN,NaN,NaN,NaN
NSE:MPTODAY,Madhya Pradesh Today Media Limited,NaN,NaN,NaN,NaN
NSE:EUROTEXIND,Eurotex Industries and Exports Limited,13.5,12.95,4.25,11019
NSE:MINDPOOL,Mindpool Technologies Limited,NaN,NaN,NaN,NaN
NSE:THIRUSUGAR,Thiru Arooran Sugars Limited,NaN,NaN,NaN,NaN
NSE:RAJRAYON,Raj Rayon Industries Limited,0.4,0.45,-11.11,1276928
NSE:ALPSINDUS,Alps Industries Limited,3.75,3.9,-3.85,94510
NSE:NORBTEAEXP,Norben Tea & Exports Limited,7.2,7.3,-1.37,2765
NSE:GLFL,Gujarat Lease Financing Limited,3.2,2.95,8.47,6361
NSE:SPENTEX,Spentex Industries Limited,1.35,1.35,0,5645
NSE:NIRAJISPAT,Niraj Ispat Industries Limited,120,122,-1.64,0
NSE:DSML,Debock Sales And Marketing Limited,NaN,NaN,NaN,NaN
NSE:SECURCRED,SecUR Credentials Limited,NaN,NaN,NaN,NaN
NSE:AMJUMBO,A and M Jumbo Bags Limited,NaN,NaN,NaN,NaN
NSE:SUBCAPCITY,International Constructions Limited,20,20.15,-0.74,2102
NSE:ACCORD,Accord Synergy Limited,NaN,NaN,NaN,NaN
NSE:OMFURN,Omfurn India Limited,NaN,NaN,NaN,NaN
NSE:GTNTEX,GTN Textiles Limited,8.25,8.25,0,5021
NSE:GFSTEELS,Grand Foundry Limited,4.05,3.9,3.85,7471
NSE:CONTI,Continental Seeds and Chemicals Limited,NaN,NaN,NaN,NaN
NSE:TCIFINANCE,TCI Finance Limited,5.3,5.3,0,1140
NSE:KALYANI,Kalyani Commercials Limited,60,61,-1.64,0
NSE:TFL,Transwarranty Finance Limited,6.2,6.05,2.48,36313
NSE:CREATIVEYE,Creative Eye Limited,4,3.85,3.9,3200
NSE:VIJIFIN,Viji Finance Limited,2.1,2,5,50264
NSE:KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,2.65,2.75,-3.64,8925
NSE:BKMINDST,Bkm Industries Limited,1.35,1.4,-3.57,55254
NSE:JALAN,Jalan Transolutions (India) Limited,NaN,NaN,NaN,NaN
NSE:PULZ,Pulz Electronics Limited,NaN,NaN,NaN,NaN
NSE:DRL,Dhanuka Realty Limited,NaN,NaN,NaN,NaN
NSE:TANTIACONS,Tantia Constructions Limited,7,7.35,-4.76,9079
NSE:TRANSWIND,Transwind Infrastructures Limited,NaN,NaN,NaN,NaN
NSE:SONISOYA,Soni Soya Products Limited,NaN,NaN,NaN,NaN
NSE:BHALCHANDR,Bhalchandram Clothing Limited,NaN,NaN,NaN,NaN
NSE:GRETEX,Gretex Industries Limited,NaN,NaN,NaN,NaN
NSE:TECHIN,Techindia Nirman Limited,6.35,6.65,-4.51,38758
NSE:RADAAN,Radaan Mediaworks India Limited,1.5,1.45,3.45,93254
NSE:SMVD,SMVD Poly Pack Limited,NaN,NaN,NaN,NaN
NSE:LAKPRE,Lakshmi Precision Screws Limited,4.6,4.65,-1.08,2262
NSE:EUROCERA,Euro Ceramics Limited,NaN,NaN,NaN,NaN
NSE:NTL,Neueon Towers Limited,2.6,2.7,-3.7,105001
NSE:RAMSARUP,Ramsarup Industries Limited,1.3,1.35,-3.7,1025
NSE:MANAV,Manav Infra Projects Limited,NaN,NaN,NaN,NaN
NSE:ARENTERP,Rajdarshan Industries Limited,28.25,28.65,-1.4,6171
NSE:POWERFUL,Powerful Technologies Limited,NaN,NaN,NaN,NaN
NSE:VASA,Vasa Retail and Overseas Ltd,NaN,NaN,NaN,NaN
NSE:JIKIND,JIK Industries Limited,0.45,0.5,-10,2514
NSE:THOMASCOTT,Thomas Scott (India) Limited,18.35,18.05,1.66,4478
NSE:MELSTAR,Melstar Information Technologies Limited,3.65,3.55,2.82,3533
NSE:ORTEL,Ortel Communications Limited,1.35,1.35,0,0
NSE:DCMFINSERV,DCM Financial Services Limited,3,2.9,3.45,4977
NSE:GISOLUTION,GI Engineering Solutions Limited,3.95,3.8,3.95,6072
