Symbol,Price,PrevDayClose,ChangeInPercentage
NSE:BASF,3712,3587.75,3.46
NSE:BAGFILMS,3.15,3.2,-1.56
NSE:BANKBEES,400.68,395.99,1.18
NSE:PSUBNKBEES,30.56,29.59,3.28
NSE:BAJFINANCE,7881.3,7862.9,0.23
NSE:BBL,1379,1361.9,1.26
NSE:BBTC,1148.05,1153.6,-0.48
NSE:BEML,1672.5,1659.7,0.77
NSE:BEDMUTHA,54,51.45,4.96
NSE:BERGEPAINT,837.45,838.45,-0.12
NSE:NRBBEARING,146.55,145.55,0.69
NSE:NIBL,28.5,31.65,-9.95
NSE:MENONBE,83,81.1,2.34
NSE:BEL,219.2,210.55,4.11
NSE:NIFTYBEES,198.95,197.11,0.93
NSE:LIQUIDBEES,1000,1000,0
NSE:SHARIABEES,456.52,452.63,0.86
NSE:GOLDBEES,41.08,41.52,-1.06
NSE:BANARBEADS,79.5,80.2,-0.87
NSE:HNGSNGBEES,325.5,322.63,0.89
NSE:BFUTILITIE,466,467.9,-0.41
NSE:BFINVEST,379.15,376.35,0.74
NSE:BGRENERGY,73.45,69.4,5.84
NSE:BGLOBAL,2.7,2.6,3.85
NSE:BHEL,75.05,74.35,0.94
NSE:BHARATFORG,805,801,0.5
NSE:BHARATGEAR,178,177.05,0.54
NSE:JAYBARMARU,217.45,221.2,-1.7
NSE:BHAGERIA,297.9,293.5,1.5
NSE:BHARATRAS,12116.4,12237.35,-0.99
NSE:BEPL,201.95,201.15,0.4
NSE:BHARATWIRE,65.2,64.25,1.48
NSE:BIL,225.3,224.7,0.27
NSE:NBVENTURES,128.35,124,3.51
NSE:BIOCON,342.75,347.65,-1.41
NSE:BSLNIFTY,204.65,202.97,0.83
NSE:NATHBIOGEN,324.75,324.1,0.2
NSE:BINDALAGRO,24.4,24.15,1.04
NSE:BILENERGY,0.6,0.65,-7.69
NSE:BSLGOLDETF,4321.1,4361.15,-0.92
NSE:PANACEABIO,268.8,270.7,-0.7
NSE:GUFICBIO,194,194.3,-0.15
NSE:BIRLACORPN,1421.2,1426.7,-0.39
NSE:HESTERBIO,2554.95,2520.45,1.37
NSE:BLBLIMITED,12.35,12.95,-4.63
NSE:PHILIPCARB,250.65,249.95,0.28
NSE:BLUEDART,6500,6508.6,-0.13
NSE:BLUECOAST,5.9,5.9,0
NSE:BLISSGVS,111.55,111.4,0.13
NSE:BLUECHIP,0.45,0.4,12.5
NSE:BLUESTARCO,924.6,914.85,1.07
NSE:BODALCHEM,140.3,141.65,-0.95
NSE:BOMDYEING,102.2,102.9,-0.68
NSE:GENUSPAPER,13,12.4,4.84
NSE:CEBBCO,34.3,33.65,1.93
NSE:BRFL,7.3,7.2,1.39
NSE:BPL,137.15,144.35,-4.99
NSE:DBSTOCKBRO,18,17.95,0.28
NSE:UBL,1699.4,1709.35,-0.58
NSE:SUNDRMBRAK,415,417.2,-0.53
NSE:KIRLOSBROS,399.85,403.15,-0.82
NSE:BROOKS,133.1,130.8,1.76
NSE:RBL,913.9,880.9,3.75
NSE:NOIDATOLL,7.15,7.5,-4.67
NSE:BSL,81.25,84.8,-4.19
NSE:BURNPUR,4,3.85,3.9
NSE:BYKE,36.15,36.25,-0.28
NSE:GOACARBON,398.7,389.1,2.47
NSE:ELECTCAST,37.1,36.55,1.5
NSE:CASTROLIND,148.15,146.75,0.95
NSE:CANDC,3.3,3.2,3.12
NSE:CADILAHC,535.8,544.1,-1.53
NSE:CCCL,0.5,0.5,0
NSE:CCHHL,7.4,7.3,1.37
NSE:CCL,411.35,411.05,0.07
NSE:IDEA,10.65,10.75,-0.93
NSE:ITDCEM,95.9,92.25,3.96
NSE:CESC,95.05,93.75,1.39
NSE:CERA,6198.95,5606.6,10.57
NSE:CEATLTD,1364,1355.95,0.59
NSE:RAMCOCEM,1004.35,994.4,1
NSE:CENTEXT,9.3,9.2,1.09
NSE:ULTRACEMCO,7459.25,7395.5,0.86
NSE:KOVAI,1671.6,1648.8,1.38
NSE:MANGLMCEM,445.05,445.55,-0.11
NSE:CEREBRAINT,54.3,54.6,-0.55
NSE:SOMANYCERA,839.95,834.3,0.68
NSE:SHREECEM,28170,27956.45,0.76
NSE:KAKATCEM,256.05,254.6,0.57
NSE:GSCLCEMENT,52.1,51.4,1.36
NSE:CENTURYPLY,557.15,528.9,5.34
NSE:ORIENTCEM,163.15,162.25,0.55
NSE:MURUDCERA,27.9,27.65,0.9
NSE:CENTRALBK,23.5,23.2,1.29
NSE:REGENCERAM,1.85,1.85,0
NSE:SHYAMCENT,14.4,14.3,0.7
NSE:CENTURYTEX,953.3,962.65,-0.97
NSE:JKLAKSHMI,625,631.25,-0.99
NSE:CELEBRITY,10.55,11.1,-4.95
NSE:DECCANCE,783.5,769.45,1.83
NSE:CENTUM,562.95,541.5,3.96
NSE:CENTENKA,462.7,459.2,0.76
NSE:INDIACEM,223.5,214.4,4.24
NSE:KAJARIACER,1310.95,1303.7,0.56
NSE:CGCL,516.5,519.65,-0.61
NSE:SUDARSCHEM,666.75,664,0.41
NSE:CLNINDIA,604.1,602.25,0.31
NSE:CHROMATIC,0.9,0.95,-5.26
NSE:RAJSREESUG,27.55,27.7,-0.54
NSE:TIRUMALCHM,280.35,289.65,-3.21
NSE:CIPLA,905,911.35,-0.7
NSE:CIGNITITEC,612.85,615,-0.35
NSE:CINEVISTA,15.9,15.15,4.95
NSE:MAHINDCIE,270.15,250.55,7.82
NSE:OPTOCIRCUI,3.3,3.25,1.54
NSE:CINELINE,129.95,123.8,4.97
NSE:SHRIRAMCIT,2231.5,2188.75,1.95
NSE:INDIANCARD,179.9,177.65,1.27
NSE:KKCL,1040,1024.05,1.56
NSE:CPSEETF,32.71,32.06,2.03
NSE:GANESHHOUC,224,223.1,0.4
NSE:CREATIVEYE,3.85,3.85,0
NSE:CRISIL,3042.65,2978.9,2.14
NSE:SHARDACROP,320.25,318.95,0.41
NSE:SATIN,77.7,77.4,0.39
NSE:PUNJABCHEM,1554,1531.8,1.45
NSE:CREST,123.3,123.15,0.12
NSE:BAYERCROP,5248.15,5244.6,0.07
NSE:CTE,63.65,62.9,1.19
NSE:CURATECH,1.6,1.6,0
NSE:CUBEXTUB,24.85,23.8,4.41
NSE:CUMMINSIND,926.35,903.15,2.57
NSE:CYBERTECH,177,174.85,1.23
NSE:CYBERMEDIA,9.65,10.1,-4.46
NSE:CYIENT,1182.05,1159.8,1.92
NSE:COFFEEDAY,39.25,36.95,6.22
NSE:HATHWAY,27.2,26.85,1.3
NSE:UMANGDAIRY,80.25,79.45,1.01
NSE:DAAWAT,72.75,73.6,-1.15
NSE:DATAMATICS,350.1,358.85,-2.44
NSE:DBREALTY,41.3,39.35,4.96
NSE:DBCORP,97.7,96.45,1.3
NSE:DCW,52,52.8,-1.52
NSE:DCM,53.3,51.25,4
NSE:DCBBANK,95.65,93.25,2.57
NSE:DCMSHRIRAM,1205,1191.1,1.17
NSE:DELTACORP,298.3,289.9,2.9
NSE:HIL,5238.9,5195.25,0.84
NSE:NDL,74.3,75.6,-1.72
NSE:DHUNINV,638.5,638.45,0.01
NSE:DTIL,287.5,286.8,0.24
NSE:DHARSUGAR,20.35,20.5,-0.73
NSE:DHAMPURSUG,332.4,325.6,2.09
NSE:DHANBANK,16.95,16.7,1.5
NSE:DISHTV,18.5,19,-2.63
NSE:DIAPOWER,1.55,1.6,-3.13
NSE:GDL,285.05,288.3,-1.13
NSE:RKDL,14.2,14.55,-2.41
NSE:DICIND,464.85,460.05,1.04
NSE:PIONDIST,180.1,180.6,-0.28
NSE:DIVISLAB,5327.4,5372.15,-0.83
NSE:DLF,440.8,434.9,1.36
NSE:DLINKINDIA,146.4,146.1,0.21
NSE:DONEAR,59.1,58.85,0.42
NSE:DQE,0.9,0.9,0
NSE:PDPL,2.95,2.95,0
NSE:KILITCH,166.25,167.05,-0.48
NSE:LALPATHLAB,3667.15,3683.3,-0.44
NSE:MANGALAM,143,141.35,1.17
NSE:DREDGECORP,377.45,377.95,-0.13
NSE:JINDRILL,153.4,150.85,1.69
NSE:DSSL,168.5,168.75,-0.15
NSE:DWARKESH,75.85,75.45,0.53
NSE:DYNAMATECH,2837,2780.1,2.05
NSE:GESHIP,354.25,358.45,-1.17
NSE:EASUNREYRL,2.95,2.9,1.72
NSE:EASTSILK,5.25,5.5,-4.55
NSE:EBANK,3890,3965,-1.89
NSE:ECLERX,2339.95,2300.1,1.73
NSE:VIKASECO,2.2,2.1,4.76
NSE:GANECOS,499.95,482.55,3.61
NSE:EDUCOMP,2.95,3,-1.67
NSE:EDELWEISS,82.4,79.65,3.45
NSE:MTEDUCARE,9,8.95,0.56
NSE:NAUKRI,7008.2,7008.85,-0.01
NSE:NIFTYEES,22705,22705,0
NSE:NAVNETEDUL,114.2,115.35,-1
NSE:SKMEGGPROD,84.6,85.2,-0.7
NSE:EICHERMOT,2841.75,2853.2,-0.4
NSE:EIHOTEL,144.4,141.85,1.8
NSE:EIMCOELECO,409.25,395.2,3.56
NSE:EIDPARRY,486,484.95,0.22
NSE:ELGIEQUIP,203.2,204.6,-0.68
NSE:TVSELECT,176.4,169.5,4.07
NSE:MIRCELECTR,21.5,20.8,3.37
NSE:BAJAJELEC,1301.9,1274.95,2.11
NSE:INDNIPPON,415,404.5,2.6
NSE:ELECTHERM,135.5,141.7,-4.38
NSE:ELGIRUBCO,40.3,39.7,1.51
NSE:KECL,24.15,24.75,-2.42
NSE:PGEL,541.25,545.75,-0.82
NSE:ELECON,166,166.15,-0.09
NSE:SALZERELEC,166.4,165.55,0.51
NSE:EMCO,2.1,2.2,-4.55
NSE:PIONEEREMB,62.5,61.85,1.05
NSE:EMAMILTD,552.3,550.25,0.37
NSE:EMMBI,108.25,108.05,0.19
NSE:EMKAY,119.25,117.1,1.84
NSE:SHEMAROO,144,148.6,-3.1
NSE:SADBHAV,55.75,54.95,1.46
NSE:RELIGARE,175,172.2,1.63
NSE:PATELENG,27.5,27.75,-0.9
NSE:ENIL,188.55,186.4,1.15
NSE:KARMAENG,22.5,23.2,-3.02
NSE:A2ZINFRA,4.85,4.65,4.3
NSE:SHRIRAMEPC,6.8,7.15,-4.9
NSE:REVATHI,661.75,668.4,-0.99
NSE:EROSMEDIA,21.25,21.35,-0.47
NSE:ESSARSHPNG,11.8,11.15,5.83
NSE:ESCORTS,1539.25,1520.95,1.2
